P| 共 14281 条

########## 窗口 23:08:57 .. 23:09:27 ##########
  样本 66 条
  t           Rx      Ry      Rz   |  Δ(deg)  轴(器件系)                | 轴(世界系)
  23:11:27.470   -31.05   35.97   -6.47  |    8.06  (+0.07,-0.07,+1.00)   (+0.63,+0.39,+0.68)
  23:11:27.822   -27.32   37.51   -0.02  |    5.39  (-0.02,-0.22,+0.98)   (+0.57,+0.25,+0.78)
  23:11:28.124   -26.61   37.19    1.41  |    1.19  (-0.13,-0.67,+0.73)   (+0.48,-0.26,+0.84)
  23:11:28.490   -24.36   38.18    5.10  |    3.08  (-0.00,-0.12,+0.99)   (+0.56,+0.35,+0.75)
  23:11:28.841   -20.47   39.59   10.56  |    4.50  (+0.10,-0.07,+0.99)   (+0.62,+0.40,+0.67)
  23:11:29.145   -17.83   40.16   14.55  |    3.12  (+0.03,-0.15,+0.99)   (+0.60,+0.32,+0.74)
  23:11:29.502   -15.00   40.64   18.58  |    3.11  (+0.07,-0.13,+0.99)   (+0.62,+0.35,+0.71)
  23:11:29.803    -8.89   41.04   27.45  |    6.73  (+0.04,-0.15,+0.99)   (+0.61,+0.32,+0.72)
  23:11:30.153   -10.04   41.25   26.99  |    0.94  (-0.90,+0.28,-0.33)   (-0.92,-0.22,+0.32)
  23:11:30.464   -41.24   34.85  -12.22  |   31.89  (-0.20,+0.24,-0.95)   (-0.74,-0.29,-0.61)
  23:11:30.827   -46.03   34.94  -18.57  |    5.33  (-0.22,+0.69,-0.69)   (-0.71,+0.21,-0.68)
  23:11:31.170   -40.72   38.63  -11.86  |    6.64  (+0.19,-0.15,+0.97)   (+0.76,+0.37,+0.53)
  23:11:31.480   -35.23   39.74   -6.00  |    5.00  (+0.36,-0.38,+0.85)   (+0.87,+0.09,+0.48)
  23:11:33.198   -22.70   42.77   12.39  |   14.13  (+0.02,-0.29,+0.96)   (+0.65,+0.25,+0.71)
  23:11:33.506   -21.33   42.89   14.51  |    1.56  (-0.05,-0.30,+0.95)   (+0.61,+0.22,+0.76)
  23:11:34.216   -21.26   42.91   14.74  |    0.19  (-0.45,-0.22,+0.86)   (+0.23,+0.17,+0.96)
  23:11:34.525   -20.91   43.05   15.04  |    0.30  (+0.49,+0.17,+0.86)   (+0.71,+0.67,+0.21)
  23:11:34.879   -20.91   43.07   15.05  |    0.02  (-0.31,+0.72,+0.62)   (-0.23,+0.86,+0.45)
  23:11:35.183   -19.77   42.46   15.39  |    1.12  (+0.81,-0.59,+0.02)   (+0.86,-0.33,-0.39)
  23:11:35.570    -9.26   40.81   20.92  |    8.15  (+0.84,-0.32,+0.44)   (+0.98,+0.11,-0.18)
  23:11:35.895   -12.36   34.47   18.80  |    6.80  (-0.26,-0.87,-0.42)   (-0.02,-1.00,-0.03)
  23:11:36.247    -2.15   25.61   30.08  |   13.92  (+0.32,-0.72,+0.62)   (+0.84,-0.31,+0.44)
  23:11:36.550   -23.98   12.03   29.69  |   25.56  (-0.85,-0.52,-0.14)   (-0.44,-0.86,+0.26)
  23:11:36.905   -16.32   17.73   45.86  |   16.98  (+0.20,-0.00,+0.98)   (+0.14,+0.53,+0.83)
  23:11:38.241   -16.58   18.00   46.06  |    0.46  (-0.70,+0.44,+0.56)   (-0.79,+0.02,+0.61)
  23:11:38.599   -16.58   18.00   46.06  |    0.00  (+0.00,+0.00,+0.00)   (+0.00,+0.00,+0.00)
  23:11:38.902   -16.58   18.00   46.06  |    0.00  (+0.00,+0.00,+0.00)   (+0.00,+0.00,+0.00)
  23:11:39.643   -16.63   18.06   46.04  |    0.08  (-0.57,+0.82,-0.01)   (-0.99,+0.10,-0.06)
  23:11:39.924   -16.58   18.00   46.06  |    0.08  (+0.57,-0.82,+0.01)   (+0.99,-0.10,+0.06)
  23:11:40.277   -16.58   18.00   46.06  |    0.00  (+0.00,+0.00,+0.00)   (+0.00,+0.00,+0.00)
  23:11:40.580   -16.63   18.06   46.04  |    0.08  (-0.57,+0.82,-0.01)   (-0.99,+0.10,-0.06)
  23:11:40.943   -16.58   18.00   46.06  |    0.08  (+0.57,-0.82,+0.01)   (+0.99,-0.10,+0.06)
  23:11:41.245   -16.58   18.00   46.06  |    0.00  (+0.00,+0.00,+0.00)   (+0.00,+0.00,+0.00)
  23:11:41.677   -16.58   18.00   46.06  |    0.00  (+0.00,+0.00,+0.00)   (+0.00,+0.00,+0.00)
  23:11:41.950   -16.63   18.06   46.04  |    0.08  (-0.57,+0.82,-0.01)   (-0.99,+0.10,-0.06)
  23:11:42.303   -16.58   18.00   46.06  |    0.08  (+0.57,-0.82,+0.01)   (+0.99,-0.10,+0.06)
  23:11:43.966   -48.12   17.11   23.49  |   32.62  (-0.75,+0.33,-0.58)   (-0.74,-0.55,-0.38)
  23:11:44.320   -50.60   16.62   22.57  |    2.43  (-0.91,+0.14,-0.39)   (-0.82,-0.57,-0.08)
  23:11:44.988   -53.60   17.51   21.04  |    3.07  (-0.83,+0.55,-0.06)   (-0.97,-0.08,-0.21)
  23:11:45.338   -55.80   17.79   20.06  |    2.14  (-0.89,+0.43,-0.15)   (-0.96,-0.22,-0.15)
  23:11:45.651   -57.71   18.01   19.18  |    1.85  (-0.88,+0.44,-0.15)   (-0.96,-0.22,-0.16)
  23:11:46.003   -58.15   18.20   18.94  |    0.47  (-0.78,+0.62,+0.08)   (-0.97,+0.09,-0.22)
  23:11:46.306   -56.40   18.48   19.57  |    1.69  (+0.92,-0.21,+0.33)   (+0.88,+0.48,+0.05)
  23:11:47.019   -45.98   18.21   23.13  |    9.90  (+0.94,-0.28,+0.19)   (+0.94,+0.34,+0.03)
  23:11:47.325   -42.06   18.25   24.03  |    3.74  (+0.97,-0.15,+0.17)   (+0.91,+0.41,-0.09)
  23:11:47.661   -37.68   17.17   23.29  |    4.78  (+0.96,-0.08,-0.26)   (+0.89,+0.14,-0.43)
  23:11:49.016   -47.92   19.42   21.28  |   10.05  (-0.96,+0.29,+0.01)   (-0.98,-0.16,+0.12)
  23:11:49.370   -51.76   20.71   20.14  |    3.83  (-0.90,+0.43,+0.08)   (-1.00,-0.02,+0.05)
  23:11:49.706   -52.62   21.17   20.21  |    1.00  (-0.89,+0.23,+0.40)   (-0.91,+0.15,+0.38)
  23:11:51.052   -39.77   21.26   17.42  |   14.10  (+0.98,+0.14,-0.12)   (+0.80,+0.28,-0.53)
  23:11:51.356   -42.70   22.09   13.82  |    3.80  (-0.42,+0.74,-0.52)   (-0.75,+0.02,-0.66)
  23:11:51.707   -46.57   24.66    3.74  |    9.60  (+0.01,+0.87,-0.50)   (-0.41,+0.21,-0.89)
  23:11:52.023   -49.52   25.92   -0.01  |    3.86  (-0.35,+0.87,-0.34)   (-0.70,+0.30,-0.64)
  23:11:52.423   -48.53   23.49    7.86  |    7.89  (-0.29,-0.89,+0.36)   (+0.13,-0.30,+0.94)
  23:11:52.758   -49.95   22.72   17.23  |   10.04  (-0.51,-0.70,+0.50)   (-0.11,-0.10,+0.99)
  23:11:53.044   -53.40   19.93   28.40  |   13.13  (-0.57,-0.75,+0.33)   (-0.14,-0.29,+0.95)
  23:11:53.698   -61.45   20.38   41.33  |   17.43  (-0.72,-0.57,+0.40)   (-0.37,-0.23,+0.90)
  23:11:54.767   -56.06   23.52   11.19  |   32.68  (+0.51,+0.78,-0.36)   (+0.10,+0.16,-0.98)
  23:11:55.077   -63.41   23.19    7.51  |    6.80  (-0.87,+0.40,-0.29)   (-0.97,-0.21,-0.11)
  23:11:55.787   -63.05   23.18    9.48  |    1.86  (-0.22,-0.87,+0.43)   (+0.18,+0.02,+0.98)
  23:11:56.428   -62.79   23.64   10.26  |    0.85  (-0.06,-0.50,+0.86)   (+0.18,+0.58,+0.79)
  23:11:56.781   -59.09   23.86   14.13  |    4.14  (+0.52,-0.72,+0.46)   (+0.79,+0.22,+0.57)
  23:11:57.097   -53.53   22.39   17.34  |    5.42  (+0.79,-0.60,+0.08)   (+0.98,-0.01,+0.19)
  23:11:57.814   -43.12   21.50   23.65  |    9.99  (+0.81,-0.50,+0.32)   (+0.94,+0.26,+0.24)
  23:11:58.119   -41.15   20.93   24.44  |    1.92  (+0.88,-0.48,+0.09)   (+0.99,+0.12,+0.04)
  23:11:58.470   -36.10   18.77   26.58  |    5.23  (+0.83,-0.56,+0.04)   (+1.00,+0.02,+0.08)
  23:11:58.775   -15.67    7.59   33.75  |   22.91  (+0.82,-0.57,+0.06)   (+0.99,+0.02,+0.11)
  23:11:59.133   -19.02    4.59   33.51  |    4.48  (-0.74,-0.62,-0.25)   (-0.25,-0.97,+0.03)
  23:11:59.790   -24.49    1.52    3.44  |   30.42  (-0.12,+0.27,-0.95)   (-0.14,-0.15,-0.98)
  23:12:00.134   -24.43    1.99    5.10  |    1.72  (+0.01,-0.15,+0.99)   (+0.01,+0.27,+0.96)
  23:12:00.485   -23.80    0.44    1.50  |    3.98  (+0.18,+0.01,-0.98)   (+0.18,-0.38,-0.91)

