t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
6723390,-0.390,-0.336,-0.016,-0.006,-0.002,-0.003,-160.692,-311.773,399.253,179.690,-2.560,-117.360,1,0.0000,0.0000,0.0000,0
6723437,-0.219,-0.309,-0.009,-0.007,0.002,-0.004,-160.692,-311.773,399.253,179.690,-2.560,-117.360,1,0.0000,0.0000,0.0000,0
6723515,-0.252,-0.215,0.068,-0.014,-0.001,-0.005,-162.958,-317.947,395.485,179.690,-2.560,-117.321,1,0.0000,0.0000,0.0000,0
6723656,-0.193,-0.278,-0.055,-0.009,0.007,-0.003,-162.958,-317.947,395.485,179.690,-2.560,-117.321,1,0.0000,0.0000,0.0000,0
6723750,-0.225,-0.143,0.031,-0.014,0.009,-0.004,-159.947,-319.094,393.570,179.690,-2.560,-117.327,1,0.0051,0.0048,0.0018,0
6723859,-0.251,-0.189,-0.003,-0.007,0.010,-0.004,-159.947,-319.094,393.570,179.690,-2.560,-117.327,1,0.0051,0.0048,0.0018,0
6723953,-0.240,-0.203,0.086,-0.006,0.011,-0.004,-159.513,-318.734,390.125,179.690,-2.560,-117.327,1,0.0051,0.0048,0.0018,0
6724046,-0.297,-0.105,0.051,-0.016,0.006,-0.004,-159.513,-318.734,390.125,179.690,-2.560,-117.327,1,0.0139,0.0177,0.0042,0
6724125,-0.250,-0.278,0.076,-0.006,0.008,-0.004,-159.270,-318.099,388.840,179.693,-2.560,-117.330,1,0.0139,0.0177,0.0042,0
6724187,-0.263,-0.105,0.008,-0.012,0.010,-0.003,-159.270,-318.099,388.840,179.693,-2.560,-117.330,1,0.0147,0.0294,0.0063,0
6724296,-0.237,-0.213,0.095,-0.007,0.010,-0.005,-158.874,-317.693,388.314,179.690,-2.560,-117.330,1,0.0091,0.0319,0.0124,0
6724421,-0.286,-0.105,0.107,-0.009,0.008,-0.004,-158.874,-317.693,388.314,179.690,-2.560,-117.330,1,0.0091,0.0319,0.0124,0
6724562,-0.334,-0.109,0.196,-0.010,0.003,-0.005,-158.395,-315.010,393.057,179.690,-2.560,-117.330,1,0.0091,0.0319,0.0124,0
6724609,-0.335,-0.086,0.156,-0.010,0.003,-0.004,-158.395,-315.010,393.057,179.690,-2.560,-117.330,1,0.0049,0.0284,0.0223,0
6724656,-0.321,-0.039,0.113,-0.008,0.004,-0.004,-158.395,-315.010,393.057,179.690,-2.560,-117.330,1,0.0049,0.0284,0.0223,0
6724734,-0.212,-0.041,0.032,-0.007,0.003,-0.005,-154.692,-306.534,404.010,179.690,-2.560,-117.330,1,0.0049,0.0284,0.0223,0
6724875,-0.057,-0.139,-0.125,-0.014,0.007,-0.005,-154.692,-306.534,404.010,179.690,-2.560,-117.330,1,0.0074,0.0331,0.0408,0
6724968,-0.144,-0.295,0.039,-0.006,0.010,-0.006,-148.782,-291.206,414.935,179.690,-2.560,-117.330,1,0.0194,0.0555,0.0652,0
6725078,-0.045,-0.265,-0.234,-0.003,0.020,-0.002,-148.782,-291.206,414.935,179.690,-2.560,-117.330,1,0.0194,0.0555,0.0652,0
6725156,-0.253,-0.131,0.080,-0.010,0.008,-0.006,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0194,0.0555,0.0652,0
6725250,-0.251,-0.178,0.048,-0.008,0.009,-0.005,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725328,-0.265,-0.171,0.024,-0.009,0.008,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725406,-0.259,-0.182,-0.058,-0.008,0.008,-0.002,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725515,-0.261,-0.166,0.048,-0.009,0.008,-0.005,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725609,-0.255,-0.176,-0.022,-0.007,0.009,-0.003,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725765,-0.262,-0.148,0.011,-0.007,0.009,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725812,-0.241,-0.170,0.052,-0.007,0.009,-0.006,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725859,-0.265,-0.159,0.019,-0.007,0.009,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6725921,-0.244,-0.154,0.045,-0.008,0.008,-0.005,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726062,-0.276,-0.142,0.006,-0.008,0.008,-0.003,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726171,-0.260,-0.167,0.003,-0.007,0.009,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726265,-0.263,-0.152,-0.006,-0.008,0.008,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726359,-0.256,-0.156,-0.007,-0.007,0.009,-0.004,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726453,-0.266,-0.143,0.003,-0.007,0.008,-0.003,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726531,-0.240,-0.168,0.045,-0.008,0.009,-0.006,-146.800,-287.010,418.010,179.690,-2.560,-117.330,1,0.0266,0.0660,0.0660,0
6726609,-0.248,-0.145,0.030,-0.008,0.008,-0.005,-146.800,-287.010,41
