t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still,raw_x,raw_y,raw_z
10922750,-0.144,0.091,-0.923,-0.010,-0.029,0.001,-174.186,-287.867,216.531,-173.910,-3.740,-116.490,1,0.0000,0.0002,-0.0022,1,-18.480,-2.990,3.870
10922843,-0.117,0.086,-0.929,-0.010,-0.028,-0.000,-174.250,-287.980,216.260,-173.910,-3.740,-116.490,1,0.0000,-0.0001,-0.0024,1,-18.510,-2.930,4.100
10922953,-0.133,0.103,-1.014,-0.010,-0.028,0.002,-174.250,-287.980,216.260,-173.910,-3.740,-116.490,1,0.0000,-0.0001,-0.0024,1,-18.440,-3.080,3.870
10923031,-0.122,0.113,-1.066,-0.010,-0.027,0.002,-174.141,-288.091,215.915,-173.910,-3.740,-116.490,1,0.0000,-0.0001,-0.0024,1,-18.570,-2.910,3.590
10923125,-0.123,0.110,-1.045,-0.012,-0.026,0.000,-174.141,-288.091,215.915,-173.910,-3.740,-116.490,1,0.0001,-0.0004,-0.0026,1,-18.430,-2.960,3.720
10923203,-0.104,0.110,-1.028,-0.012,-0.027,-0.000,-174.140,-288.120,215.850,-173.910,-3.740,-116.490,1,0.0001,-0.0004,-0.0026,1,-18.510,-2.980,4.060
10923281,-0.115,0.115,-1.053,-0.012,-0.027,0.001,-174.140,-288.120,215.850,-173.910,-3.740,-116.490,1,0.0003,-0.0004,-0.0020,1,-18.510,-3.020,4.050
10923390,-0.111,0.123,-1.086,-0.011,-0.026,0.002,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.630,-2.950,3.670
10923500,-0.122,0.112,-1.018,-0.012,-0.026,0.000,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.550,-2.940,3.600
10923640,-0.124,0.116,-1.050,-0.012,-0.026,0.001,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.550,-2.950,3.590
10923687,-0.114,0.099,-1.040,-0.013,-0.026,0.001,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.490,-2.960,3.950
10923734,-0.120,0.103,-1.025,-0.013,-0.026,0.001,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.510,-2.980,3.640
10923812,-0.118,0.103,-1.032,-0.013,-0.026,0.000,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.460,-3.030,3.730
10923953,-0.086,0.116,-1.220,-0.014,-0.023,-0.000,-174.130,-288.140,215.800,-173.910,-3.740,-116.490,1,0.0001,0.0000,-0.0003,1,-18.490,-2.990,3.380
10924046,-0.065,0.168,-1.578,-0.020,-0.015,0.002,-174.094,-288.473,214.141,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-18.470,-2.820,2.810
10924093,-0.044,0.188,-1.691,-0.024,-0.009,0.001,-174.094,-288.473,214.141,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-18.350,-2.900,3.340
10924171,0.039,0.216,-1.879,-0.030,0.002,0.002,-174.094,-288.473,214.141,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-18.390,-2.950,2.950
10924250,0.043,0.252,-2.028,-0.034,0.005,0.000,-173.994,-288.210,212.271,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-18.270,-2.810,2.750
10924328,0.216,0.255,-2.351,-0.040,0.033,-0.000,-173.994,-288.210,212.271,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-17.940,-2.870,2.680
10924421,0.569,0.124,-2.662,-0.024,0.098,0.001,-173.720,-286.833,209.029,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-17.740,-3.180,2.440
10924500,0.369,0.030,-2.409,-0.007,0.083,0.001,-173.720,-286.833,209.029,-173.910,-3.740,-116.490,1,0.0000,0.0000,0.0000,1,-18.170,-3.000,2.570
10924609,0.063,0.219,-1.422,-0.007,0.022,0.002,-169.944,-286.028,208.867,-173.731,-3.561,-116.490,1,0.0000,0.0000,0.0000,0,-18.260,-2.840,3.400
10924703,0.387,0.255,-0.901,-0.020,0.014,-0.000,-169.944,-286.028,208.867,-173.731,-3.561,-116.490,1,0.0000,0.0000,0.0000,0,-17.970,-2.780,4.260
10924843,0.587,0.457,-1.120,-0.049,0.082,0.000,-167.935,-285.479,208.925,-173.779,-3.609,-116.413,1,0.0000,0.0000,0.0000,0,-17.810,-2.860,3.550
10924890,0.501,0.339,-1.283,-0.044,0.110,-0.002,-167.935,-285.479,208.925,-173.779,-3.609,-116.413,1,0.0000,0.0000,0.0000,0,-18.060,-2.780,3.540
10924937,0.370,0.237,-1.354,-0.036,0.117,-0.001,-167.935,-285.479,208.925,-173.779,-3.609,-116.413,1,0.0000,0.0000,0.0000,0,-18.270,-2.840,3.620
10925015,0.052,0.335,-0.901,-0.031,0.036,0.000,-167.312,-284.312,208.440,-173.766,-3.596,-116.414,1,0.0000,0.0000,0.0000,0,-18.160,-2.870,4.370
10925156,0.134,0.192,-0.470,-0.012,-0.020,0.001,-167.312,-284.312,208.440,-173.766,-3.596,-116.414,1,-0.0022,0.0010,-0.0008,0,-17.850,-2.800,4.090
10925250,0.733,0.191,-1.219,-0.023,0.099,-0.001,-164.957,-283.521,208.022,-173.771,-3.601,-116.411,1,-0.0055,0.0028,-0.0027,0,-17.570,-3.040,3.560
10925359,0.669,0.010,-1.636,0.009,0.171,-0.002,-164.957,-283.521,208.022,-173.771,-3.601,-116.411,1,-0.0055,0.0028,-0.0027,0,-18.110,-3.150,2.960
10925437,0.355,-0.183,-1.470,0.026,0.140,-0.001,-170.480,-284.737,207.954,-173.770,-3.600,-116.410,1,-0.0055,0.0028,-0.0027,0,-18.150,-3.070,3.360
10925531,0.112,0.059,-0.727,0.015,0.017,0.000,-170.480,-284.737,207.954,-173.770,-3.600,-116.410,1,-0.0137,0.0012,-0.0035,0,-18.520,-2.800,4.190
10925609,0.011,0.152,-0.391,-0.003,-0.030,0.002,-161.684,-283.872,208.384,-173.770,-3.600,-116.410,1,-0.0137,0.0012,-0.0035,0,-18.340,-2.760,4.680
10925687,0.301,0.231,-0.587,-0.005,0.021,-0.000,-161.684,-283.872,208.384,-173.770,-3.600,-116.410,1,-0.0089,-0.0014,-0.0016,0,-17.820,-2.830,3.860
10925796,1.018,0.186,-1.753,-0.002,0.178,-0.002,-167.186,-285.293,208.566,-173.770,-3.600,-116.410,1,0.0086,-0.0018,0.0012,0,-17.680,-2.980,3.080
10925906,0.534,-0.238,-1.508,0.027,0.150,-0.001,-167.186,-285.293,208.566,-173.770,-3.600,-116.410,1,0.0086,-0.0018,0.0012,0,-17.980,-3.490,3.390
10926046,0.186,-0.381,-1.247,0.070,0.062,-0.001,-169.835,-285.893,208.798,-173.770,-3.600,-116.410,1,0.0086,-0.0018,0.0012,0,-18.130,-3.090,3.860
